sim_time,callsign,x_nm,y_nm,altitude,heading,airspeed,target_altitude,target_heading,target_airspeed,loc,gs,on_ground,star,target_wpt,terminal,cmd_raw,cmd_abort,cmd_heading,cmd_altitude_ft,cmd_speed,cmd_waypoint,cmd_holding_wpt,cmd_holding_turn,cmd_landing_runway,cmd_expedite_alt,cmd_expedite_speed
421.0,UA584,-7.445963,9.302848,2980.0,166.0,152.0,2264.681339263916,90,150,False,False,,,,,c 090,,090,,,,,,,,
422.0,UA584,-7.433059,9.260643,2960.0,163.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
423.0,UA584,-7.41797,9.219187,2940.0,160.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
424.0,UA584,-7.400739,9.178592,2920.0,157.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
425.0,UA584,-7.381414,9.13897,2900.0,154.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
426.0,UA584,-7.36005,9.100429,2880.0,151.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
427.0,UA584,-7.336707,9.063072,2860.0,148.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
428.0,UA584,-7.311451,9.027002,2840.0,145.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
429.0,UA584,-7.284352,8.992317,2820.0,142.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
430.0,UA584,-7.255485,8.95911,2800.0,139.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
431.0,UA584,-7.224932,8.927471,2780.0,136.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
432.0,UA584,-7.192776,8.897485,2760.0,133.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
433.0,UA584,-7.159109,8.869235,2740.0,130.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
434.0,UA584,-7.124022,8.842795,2720.0,127.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
435.0,UA584,-7.087614,8.818237,2700.0,124.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
436.0,UA584,-7.049984,8.795627,2680.0,121.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
437.0,UA584,-7.011237,8.775025,2660.0,118.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
438.0,UA584,-6.97148,8.756486,2640.0,115.0,150.0,2264.681339263916,90,150,False,False,,,,,,,,,,,,,,,
