sim_time,callsign,x_nm,y_nm,altitude,heading,airspeed,target_altitude,target_heading,target_airspeed,loc,gs,on_ground,star,target_wpt,terminal,cmd_raw,cmd_abort,cmd_heading,cmd_altitude_ft,cmd_speed,cmd_waypoint,cmd_holding_wpt,cmd_holding_turn,cmd_landing_runway,cmd_expedite_alt,cmd_expedite_speed
175.0,AA672,19.246484,2.382607,3700.0,240.70419290456795,180.0,3000,240.70419290456795,180,False,False,,NORTH3,WP6,,,,,,,,,,,,
175.0,DL399,-20.8375,-7.9998,7000.0,90.0,250,7000,90.0,250,False,False,,SOUTH1,WP8,,,,,,,,,,,,
175.0,AA576,-10.0002,-25.61625,7920.0,0.0,250,7000,0.0,250,False,False,,SOUTH2,WP21,,,,,,,,,,,,
176.0,AA672,19.199669,2.35634,3680.0,240.70419290456795,180.0,3000,240.70419290456795,180,False,False,,NORTH3,WP6,,,,,,,,,,,,
176.0,DL399,-20.758333,-7.9998,7000.0,90.0,250,7000,90.0,250,False,False,,SOUTH1,WP8,,,,,,,,,,,,
176.0,AA576,-10.0002,-25.535833,7900.0,0.0,250,7000,0.0,250,False,False,,SOUTH2,WP21,,,,,,,,,,,,
177.0,AA672,19.152872,2.330083,3660.0,240.70419290456795,180.0,3000,240.70419290456795,180,False,False,,NORTH3,WP6,,,,,,,,,,,,
177.0,DL399,-20.679167,-7.9998,7000.0,90.0,250,7000,90.0,250,False,False,,SOUTH1,WP8,,,,,,,,,,,,
177.0,AA576,-10.0002,-25.455444,7880.0,0.0,250,7000,0.0,250,False,False,,SOUTH2,WP21,,,,,,,,,,,,
178.0,AA672,19.106092,2.303836,3640.0,240.70419290456795,180.0,3000,240.70419290456795,180,False,False,,NORTH3,WP6,,,,,,,,,,,,
178.0,DL399,-20.6,-7.9998,7000.0,90.0,250,7000,90.0,250,False,False,,SOUTH1,WP8,,,,,,,,,,,,
178.0,AA576,-10.0002,-25.375083,7860.0,0.0,250,7000,0.0,250,False,False,,SOUTH2,WP21,,,,,,,,,,,,
179.0,AA672,19.05933,2.277599,3620.0,240.704192904568,180.0,3000,240.704192904568,180,False,False,,NORTH3,WP6,,,,,,,,,,,,
179.0,DL399,-20.520833,-7.9998,7000.0,90.0,250,7000,90.0,250,False,False,,SOUTH1,WP8,,,,,,,,,,,,
179.0,AA576,-10.0002,-25.29475,7840.0,0.0,250,7000,0.0,250,False,False,,SOUTH2,WP21,,,,,,,,,,,,
180.0,AA672,19.012585,2.251372,3600.0,240.704192904568,180.0,3000,240.704192904568,180,False,False,,NORTH3,WP6,,,,,,,,,,,,
180.0,DL399,-20.441667,-7.9998,7000.0,90.0,250,7000,90.0,250,False,False,,SOUTH1,WP8,,,,,,,,,,,,
180.0,AA576,-10.0002,-25.214444,7820.0,0.0,250,7000,0.0,250,False,False,,SOUTH2,WP21,,,,,,,,,,,,
181.0,AA672,18.965858,2.225154,3580.0,240.704192904568,180.0,3000,240.704192904568,180,False,False,,NORTH3,WP6,,,,,,,,,,,,
181.0,DL399,-20.363161,-7.9998,6980.0,90.0,248.0,5000,90.0,220,False,False,,SOUTH1,WP9,,,,,,,,,,,,
181.0,AA576,-10.0002,-25.134167,7800.0,0.0,250,7000,0.0,250,False,False,,SOUTH2,WP21,,,,,,,,,,,,
182.0,AA672,18.919148,2.198946,3560.0,240.70419290456795,180.0,3000,240.70419290456795,180,False,False,,NORTH3,WP6,,,,,,,,,,,,
182.0,DL399,-20.285316,-7.9998,6960.0,90.0,246.0,5000,90.0,220,False,False,,SOUTH1,WP9,,,,,,,,,,,,
182.0,AA576,-10.0002,-25.053917,7780.0,0.0,250,7000,0.0,250,False,False,,SOUTH2,WP21,,,,,,,,,,,,
