sim_time,callsign,x_nm,y_nm,altitude,heading,airspeed,target_altitude,target_heading,target_airspeed,loc,gs,on_ground,star,target_wpt,terminal,cmd_raw,cmd_abort,cmd_heading,cmd_altitude_ft,cmd_speed,cmd_waypoint,cmd_holding_wpt,cmd_holding_turn,cmd_landing_runway,cmd_expedite_alt,cmd_expedite_speed
2.0,DL45,29.921494,4.0002,6980.0,270.0,248.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
3.0,DL45,29.843649,4.0002,6960.0,270.0,246.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
4.0,DL45,29.766464,4.0002,6940.0,270.0,244.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
5.0,DL45,29.689938,4.0002,6920.0,270.0,242.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
6.0,DL45,29.614071,4.0002,6900.0,270.0,240.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
7.0,DL45,29.538863,4.0002,6880.0,270.0,238.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
8.0,DL45,29.464313,4.0002,6860.0,270.0,236.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
9.0,DL45,29.390421,4.0002,6840.0,270.0,234.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
10.0,DL45,29.317187,4.0002,6820.0,270.0,232.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
11.0,DL45,29.244609,4.0002,6800.0,270.0,230.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
12.0,DL45,29.172688,4.0002,6780.0,270.0,228.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
13.0,DL45,29.101422,4.0002,6760.0,270.0,226.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
14.0,DL45,29.030812,4.0002,6740.0,270.0,224.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
15.0,DL45,28.960858,4.0002,6720.0,270.0,222.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
16.0,DL45,28.891558,4.0002,6700.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
17.0,DL45,28.822282,4.0002,6680.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
18.0,DL45,28.753031,4.0002,6660.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
19.0,DL45,28.683804,4.0002,6640.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
20.0,DL45,28.614602,4.0002,6620.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
21.0,DL45,28.545424,4.0002,6600.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
22.0,DL45,28.476271,4.0002,6580.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
23.0,DL45,28.407142,4.0002,6560.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
24.0,DL45,28.338038,4.0002,6540.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
25.0,DL45,28.268958,4.0002,6520.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
26.0,DL45,28.199902,4.0002,6500.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
27.0,DL45,28.130871,4.0002,6480.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
28.0,DL45,28.061864,4.0002,6460.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
29.0,DL45,27.992882,4.0002,6440.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
30.0,DL45,27.923924,4.0002,6420.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
31.0,DL45,27.854991,4.0002,6400.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
32.0,DL45,27.786082,4.0002,6380.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
33.0,DL45,27.717198,4.0002,6360.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
34.0,DL45,27.648338,4.0002,6340.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
35.0,DL45,27.579502,4.0002,6320.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
36.0,DL45,27.510691,4.0002,6300.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
37.0,DL45,27.441904,4.0002,6280.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
38.0,DL45,27.373142,4.0002,6260.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
39.0,DL45,27.304404,4.0002,6240.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
40.0,DL45,27.235691,4.0002,6220.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
41.0,DL45,27.167002,4.0002,6200.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
42.0,DL45,27.098338,4.0002,6180.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
43.0,DL45,27.029698,4.0002,6160.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
44.0,DL45,26.961082,4.0002,6140.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
45.0,DL45,26.892491,4.0002,6120.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
46.0,DL45,26.823924,4.0002,6100.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
47.0,DL45,26.755382,4.0002,6080.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
48.0,DL45,26.686864,4.0002,6060.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
49.0,DL45,26.618371,4.0002,6040.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
50.0,DL45,26.549902,4.0002,6020.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
51.0,DL45,26.481458,4.0002,6000.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
52.0,DL45,26.413038,4.0002,5980.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
53.0,DL45,26.344642,4.0002,5960.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
54.0,DL45,26.276271,4.0002,5940.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
55.0,DL45,26.207924,4.0002,5920.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
56.0,DL45,26.139602,4.0002,5900.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
57.0,DL45,26.071304,4.0002,5880.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
58.0,DL45,26.003031,4.0002,5860.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
59.0,DL45,25.934782,4.0002,5840.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
60.0,DL45,25.866558,4.0002,5820.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
61.0,DL45,25.798358,4.0002,5800.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
62.0,DL45,25.730182,4.0002,5780.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
63.0,DL45,25.662031,4.0002,5760.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
64.0,DL45,25.593904,4.0002,5740.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
65.0,DL45,25.525802,4.0002,5720.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
66.0,DL45,25.457724,4.0002,5700.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
67.0,DL45,25.389671,4.0002,5680.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
68.0,DL45,25.321642,4.0002,5660.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
69.0,DL45,25.253638,4.0002,5640.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
70.0,DL45,25.185658,4.0002,5620.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
71.0,DL45,25.117702,4.0002,5600.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
72.0,DL45,25.049771,4.0002,5580.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
73.0,DL45,24.981864,4.0002,5560.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
74.0,DL45,24.913982,4.0002,5540.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
75.0,DL45,24.846124,4.0002,5520.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
76.0,DL45,24.778291,4.0002,5500.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
77.0,DL45,24.710482,4.0002,5480.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
78.0,DL45,24.642698,4.0002,5460.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
79.0,DL45,24.574938,4.0002,5440.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
80.0,DL45,24.507202,4.0002,5420.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
81.0,DL45,24.439491,4.0002,5400.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
82.0,DL45,24.371804,4.0002,5380.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
83.0,DL45,24.304142,4.0002,5360.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
84.0,DL45,24.236504,4.0002,5340.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
85.0,DL45,24.168891,4.0002,5320.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
86.0,DL45,24.101302,4.0002,5300.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
87.0,DL45,24.033738,4.0002,5280.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
88.0,DL45,23.966198,4.0002,5260.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
89.0,DL45,23.898682,4.0002,5240.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
90.0,DL45,23.831191,4.0002,5220.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
91.0,DL45,23.763724,4.0002,5200.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
92.0,DL45,23.696282,4.0002,5180.0,270.0,220.0,5000,270.0,220,False,False,,NORTH3,WP13,,,,,,,,,,,,
